AdultBodyMass,DietBreadth,Diet_Invertebrates,Diet_Vertebrates,Diet_Fruits,Diet_Flowers,Diet_Seeds,Diet_Plants,Diet_Other,TrophicLevel,ActivityCycle,ForagingStratum,MigratoryStatus,IncubationTime,ClutchSize,EggLength,EggWidth,EggMass,NestingHabit,MaxLongevity,Montane
96.5,3.0,yes,no,no,yes,yes,no,no,2.0,3.0,1.0,yes,18.5,10.5,30.4,23.0,8.2,terrestrial,175.2,1
76.0,3.0,yes,no,no,no,yes,yes,no,2.0,3.0,1.0,yes,16.0,6.0,29.15,22.6,7.5,terrestrial,nan,1
245.0,4.0,yes,no,yes,no,yes,yes,no,2.0,3.0,1.0,no,18.5,17.5,38.5,28.9,nan,terrestrial,nan,1
826.0,6.0,yes,no,yes,yes,yes,yes,yes,2.0,3.0,1.0,no,21.5,7.0,nan,nan,41.0,aquatic,68.0,0
305.0,6.0,yes,yes,yes,no,yes,yes,yes,2.0,3.0,1.0,yes,19.25,9.25,nan,nan,22.3,aquatic,223.2,1
180.0,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,nan,nan,nan,no,nan,nan,nan,nan,nan,<NA>,nan,0
246.0,3.0,yes,yes,no,no,yes,no,no,2.0,3.0,1.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
796.5,5.0,yes,yes,no,yes,yes,yes,no,2.0,2.0,1.0,no,25.0,4.0,52.2,40.7,41.5,aquatic,264.0,1
114.0,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,nan,nan,nan,nan,terrestrial,nan,1
26.8,2.0,yes,no,no,no,yes,no,no,2.0,3.0,1.0,no,nan,3.5,27.1,21.0,nan,terrestrial,nan,1
26.5,3.0,yes,no,no,no,yes,yes,no,2.0,nan,1.0,no,nan,nan,nan,nan,nan,<NA>,nan,0
157.35,4.0,yes,yes,no,no,yes,yes,no,2.0,3.0,1.0,no,nan,2.5,34.3,27.9,nan,terrestrial,nan,0
35.4,4.0,yes,yes,no,no,yes,yes,no,2.0,2.0,1.0,yes,18.0,7.4,nan,nan,6.3,terrestrial,nan,1
182.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,nan,4.5,nan,nan,21.5,terrestrial,nan,1
139.5,5.0,yes,yes,no,yes,yes,yes,no,2.0,2.0,1.0,yes,nan,4.4,nan,nan,13.5,aquatic,nan,1
255.0,2.0,yes,yes,no,no,no,no,no,3.0,2.0,3.0,no,20.0,4.5,45.0,38.0,nan,arboreal,nan,1
148.0,2.0,yes,no,no,no,yes,no,no,2.0,3.0,1.0,yes,nan,1.0,nan,nan,nan,arboreal,nan,1
110.0,2.0,yes,no,no,no,yes,no,no,2.0,3.0,1.0,no,nan,1.92,nan,nan,nan,arboreal,nan,0
137.0,3.0,yes,no,yes,no,yes,no,no,2.0,3.0,1.0,no,24.0,1.5,36.9,27.6,nan,arboreal,nan,0
17.0,2.0,yes,yes,no,no,no,no,no,3.0,2.0,1.0,no,nan,2.5,nan,nan,nan,arboreal,nan,1
17.5,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,0
18.1,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
18.9,2.0,yes,no,no,no,yes,no,no,2.0,3.0,1.0,no,nan,2.0,nan,nan,nan,terrestrial,nan,1
27.4,2.0,yes,yes,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
21.4,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,nan,nan,nan,nan,<NA>,nan,0
19.9,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,3.0,nan,nan,nan,terrestrial,nan,1
8.6,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
9.7,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
23.3,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
11.0,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
14.3,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,3.0,nan,nan,nan,arboreal,nan,0
14.0,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,nan,nan,nan,nan,<NA>,nan,0
18.2,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,3.0,nan,nan,nan,arboreal,nan,1
19.25,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,17.5,2.4,nan,nan,nan,arboreal,nan,1
47.2,2.0,yes,no,yes,no,no,no,no,2.0,3.0,3.0,no,nan,1.0,nan,nan,nan,arboreal,nan,1
10.0,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,4.0,nan,nan,nan,terrestrial,nan,1
nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,nan,nan,nan,no,nan,nan,nan,nan,nan,<NA>,nan,0
8.3,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,4.0,nan,nan,nan,arboreal,nan,1
6.9,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,3.0,nan,nan,nan,arboreal,nan,1
7.0,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,nan,nan,nan,nan,arboreal,nan,1
524.0,5.0,yes,yes,yes,no,yes,no,yes,2.0,3.0,1.0,no,18.5,4.0,nan,nan,21.8,arboreal,nan,1
47.1,3.0,yes,yes,yes,no,no,no,no,2.0,3.0,3.0,no,nan,3.0,25.2,18.0,nan,arboreal,nan,1
8.2,1.0,no,no,no,no,yes,no,no,1.0,3.0,1.0,no,nan,5.5,nan,nan,nan,arboreal,nan,1
17.5,1.0,yes,no,no,no,no,no,no,3.0,3.0,4.0,yes,14.0,4.0,nan,nan,nan,<NA>,96.0,0
23.9,1.0,yes,no,no,no,no,no,no,3.0,3.0,4.0,no,nan,2.0,nan,nan,2.5,aquatic,nan,1
13.5,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,3.5,nan,nan,1.36,terrestrial,nan,1
15.25,1.0,yes,no,no,no,no,no,no,3.0,nan,nan,yes,nan,nan,nan,nan,nan,<NA>,nan,0
20.0,1.0,yes,no,no,no,no,no,no,3.0,3.0,1.0,no,nan,nan,nan,nan,nan,terrestrial,nan,1
14.2,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,nan,2.0,nan,nan,nan,arboreal,nan,1
13.4,1.0,yes,no,no,no,no,no,no,3.0,3.0,3.0,no,16.0,2.5,18.2,13.8,1.8,arboreal,nan,1
22.5,2.0,yes,yes,no,no,no,no,no,3.0,3.0,1.0,no,nan,3.5,nan,nan,nan,arboreal,nan,1
24.4,3.0,yes,yes,yes,no,no,no,no,2.0,3.0,3.0,no,13.0,3.0,nan,nan,nan,arboreal,nan,1
nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,nan,nan,nan,no,nan,nan,nan,nan,nan,<NA>,nan,1
31.25,3.0,yes,no,yes,no,no,yes,no,2.0,3.0,3.0,no,15.0,1.5,nan,nan,nan,arboreal,nan,0
28.3,2.0,yes,no,yes,no,no,no,no,2.0,3.0,3.0,no,nan,3.0,nan,nan,nan,arboreal,nan,0
24.8,2.0,yes,no,yes,no,no,no,no,2.0,3.0,3.0,no,nan,1.5,nan,nan,nan,arboreal,nan,1
15.2,4.0,yes,yes,yes,no,yes,no,no,2.0,3.0,3.0,yes,14.5,5.0,nan,nan,1.99,terrestrial,105.6,1
