AdultBodyMass,CranialCapacity,Diet_Invertebrates,Diet_Vertebrates,Diet_Fruits,Diet_Flowers,Diet_Seeds,Diet_Plants,Diet_Other,HabitatBreadth,ActivityCycle,ForagingStratum,GestationLength,LitterSize,InterbirthInterval,HomeRange,PopulationDensity,SocialGrpSize,Longevity,Dry,Humid,Montane,Subarid,Subhumid
12.37,,yes,no,no,no,no,no,no,1.0,1.0,4.0,,,,,,,,0,1,1,1,1
12.2,,yes,no,no,no,no,no,no,1.0,,,,,,,,,,1,0,0,0,0
9.65,,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,0,1,0,0,1
4.5,,yes,no,no,no,no,no,no,,,,,,,,,,,0,0,0,1,1
5.1,,yes,no,no,no,no,no,no,1.0,,,,1.22,,,,,,0,1,1,0,1
7.2,,yes,no,no,no,no,no,no,1.0,1.0,4.0,,1.98,,,,,,0,1,0,0,1
4.0,,yes,no,no,no,no,no,no,1.0,1.0,,75.56,1.86,243.33,,,,,0,0,0,1,0
212.5,,yes,yes,yes,no,yes,no,no,2.0,2.0,1.0,,1.5,,0.007,,,14.0,0,1,1,1,1
155.0,,yes,yes,yes,no,yes,no,no,2.0,2.0,1.0,,1.0,,,,,14.0,1,0,0,0,0
162.5,,yes,yes,yes,no,yes,no,no,1.0,2.0,1.0,,1.5,,0.004,,,14.0,1,1,1,1,1
16.09,,yes,yes,no,no,no,no,no,1.0,1.0,4.0,78.21,1.0,,,,,,1,1,1,0,1
36.5,,yes,no,no,no,no,no,no,2.0,1.0,1.0,,3.0,,,,,,1,1,1,1,1
36.0,,yes,no,no,no,no,no,no,2.0,1.0,1.0,,,,,,,,0,1,1,0,1
25.52,,yes,no,no,no,no,no,no,1.0,1.0,4.0,92.54,1.0,,,,1.0,,1,0,0,1,1
387.0,7.2,yes,no,no,yes,no,yes,no,1.0,1.0,3.0,174.46,1.0,,,,,305.4,1,1,0,0,1
400.0,6.94,yes,no,no,yes,no,yes,no,1.0,2.0,3.0,174.46,1.01,365.0,0.02,500.24,1.0,222.0,0,1,0,0,1
333.0,6.68,yes,no,no,yes,no,yes,no,1.0,1.0,3.0,174.46,1.0,912.5,0.065,205.0,3.0,305.4,1,0,0,1,1
360.0,6.94,yes,no,no,yes,no,yes,no,1.0,1.0,3.0,174.46,1.0,,,,,305.4,1,0,0,0,1
,,yes,no,no,no,no,no,no,1.0,,,,,,,,,,0,0,0,1,0
3.5,,yes,no,no,no,no,no,no,1.0,1.0,4.0,,1.36,365.0,,,,96.0,0,0,0,1,0
5.9,,yes,no,no,no,no,no,no,1.0,1.0,4.0,,1.36,365.0,,,,96.0,1,1,0,1,1
4.7,,yes,no,no,no,no,no,no,1.0,,,,,,,,,,1,1,0,1,0
2395.0,27.14,no,no,yes,no,no,yes,no,2.0,2.0,3.0,142.75,1.0,365.0,0.62,,7.5,177.6,0,1,1,0,1
5270.0,32.47,no,no,yes,yes,no,yes,no,2.0,3.0,3.0,182.5,1.0,547.5,0.417,,5.5,,0,1,1,0,1
3845.0,30.19,no,no,yes,no,no,yes,no,2.0,3.0,3.0,151.5,1.0,365.0,0.043,,5.5,366.0,1,0,0,0,1
3975.0,32.47,no,no,yes,yes,no,yes,no,1.0,3.0,3.0,,,,0.013,114.0,5.0,,1,0,0,0,1
2780.0,30.15,no,no,yes,no,no,yes,no,1.0,3.0,3.0,148.0,1.02,450.69,,,5.25,366.0,1,0,0,0,0
6076.5,37.0,no,no,yes,yes,yes,yes,no,2.0,3.0,3.0,171.53,1.01,745.1,0.21,5.65,4.95,126.0,0,1,0,0,1
5686.0,39.49,no,no,yes,yes,yes,yes,no,1.0,3.0,3.0,156.25,1.0,744.69,0.5,4.73,6.0,132.7,0,1,1,0,1
4486.0,32.47,no,no,yes,no,no,yes,no,2.0,3.0,3.0,182.5,4.36,744.69,0.01,8.78,4.5,132.7,1,0,0,0,1
3506.0,,no,no,yes,yes,yes,yes,no,2.0,3.0,3.0,166.83,1.0,365.0,0.06,65.0,4.1,240.0,1,0,0,0,0
2984.0,27.5,no,no,yes,yes,yes,yes,no,1.0,3.0,3.0,150.31,1.01,451.0,0.03,150.0,6.3,309.6,1,1,0,1,1
361.0,,no,no,yes,no,no,yes,no,1.0,1.0,3.0,125.0,1.0,365.0,0.195,,450.0,118.8,1,1,1,1,1
55.0,,no,no,yes,yes,no,yes,no,1.0,2.0,3.0,126.88,1.22,365.0,0.008,,,,1,1,1,1,1
650.0,,yes,yes,yes,no,no,no,no,1.0,3.0,1.0,82.0,,365.0,,,,57.6,0,1,0,0,1
14.6,,yes,no,no,no,no,no,no,1.0,,,,,,,,,,1,0,0,1,1
44.5,,yes,no,no,no,no,no,no,1.0,2.0,4.0,,,,,,,,1,1,1,1,1
14.1,,yes,no,no,no,no,no,no,1.0,,,,,,,,,,1,1,0,1,1
294.0,,yes,yes,no,no,no,no,yes,1.0,1.0,1.0,57.82,3.12,365.0,0.102,,,147.6,1,1,1,1,1
3.5,,yes,yes,no,no,no,no,yes,,1.0,1.0,27.9,5.0,,,,1.0,38.9,1,1,1,1,1
86.7,,yes,yes,no,no,no,no,yes,2.0,1.0,1.0,30.1,3.05,56.1,,,1.0,34.2,1,1,1,1,1
35.3,,yes,no,no,no,no,no,no,1.0,1.0,4.0,104.29,1.0,182.5,,,20.0,,0,1,0,1,1
27.3,,yes,no,no,no,no,no,no,1.0,2.0,4.0,51.86,1.0,185.5,,,,,1,1,1,1,1
868.0,,yes,yes,no,no,no,yes,no,1.0,2.0,1.0,60.12,17.45,243.33,0.013,,1.0,90.0,1,1,1,1,1
6.2,,yes,no,no,no,no,no,no,1.0,1.0,4.0,,,,,,,,1,1,0,0,1
5.56,,yes,no,no,no,no,no,no,1.0,2.0,4.0,,,,,,,,1,0,0,1,1
8.5,,yes,no,no,no,no,no,no,2.0,1.0,4.0,,,,,,,,1,1,1,1,1
3019.0,31.08,no,no,yes,no,no,yes,no,1.0,3.0,3.0,99.25,2.6,364.75,0.58,32.0,24.5,225.0,0,1,0,0,0
3524.0,34.2,no,no,yes,no,no,no,no,2.0,2.0,3.0,102.93,2.03,365.0,1.39,27.83,2.8,428.4,0,1,0,0,1
21.8,,yes,yes,no,no,no,no,no,1.0,,,,,,,,,,0,1,0,0,1
21.93,,yes,yes,yes,no,yes,yes,no,1.0,1.0,1.0,,3.0,,,,,,0,1,1,0,1
